binary_name,dependency_name
adjinfo,libc.so.3
apsjoin,libc.so.3
BLClient,libcpp-ne.so.4
BLClient,libc.so.3
BLTerminal,libGLESv2.so.1
BLTerminal,libKD.so.1
BLTerminal,libEGL.so.1
BLTerminal,libimg.so.1
BLTerminal,libscreen.so.1
BLTerminal,libcpp-ne.so.4
BLTerminal,libc.so.3
crc32,libc.so.3
dev-ethervideo,libscreen.so.1
dev-ethervideo,libtilerusr.so.1
dev-ethervideo,libmemmgr.so.1
dev-ethervideo,libdce.so.1
dev-ethervideo,libsocket.so.3
dev-ethervideo,libcpp-ne.so.4
dev-ethervideo,libc.so.3
dev-videocapture,libnbthdcp.so
dev-videocapture,libcommunication.cpp-ne.so
dev-videocapture,libz.so.2
dev-videocapture,libbacktrace.so.1
dev-videocapture,libscreen.so.1
dev-videocapture,libcpp-ne.so.4
dev-videocapture,libc.so.3
dmsserver,libsys_colibry.cpp-ne.so.7
dmsserver,libsys_trace_clienttrace.cpp-ne.so.7
dmsserver,libsys_dsi_trace.cpp-ne.so.6
dmsserver,libsys_dsi_colibry.cpp-ne.so.8
dmsserver,libsys_colibry_net.cpp-ne.so.7
dmsserver,libsys_dsi_servicebroker.cpp-ne.so.4
dmsserver,libsocket.so.3
dmsserver,libSysMoCCAFrameworkSharedSo.cpp-ne.so.11
dmsserver,libwdgadapter.so.1
dmsserver,libheartbeat.so.3
dmsserver,libsys_icu46_collation.cpp-ne.so
dmsserver,libm.so.2
dmsserver,libsqlite3.so.1
dmsserver,libz.so.2
dmsserver,libsys_data_pf_dms_containers.cpp-ne.so
dmsserver,libicudata.so.46
dmsserver,libicui18n.so.46
dmsserver,libicuuc.so.46
dmsserver,libcpp-ne.so.4
dmsserver,libc.so.3
dmsserverqdb3623,libsys_colibry.cpp-ne.so.7
dmsserverqdb3623,libsys_colibry_net.cpp-ne.so.7
dmsserverqdb3623,libsocket.so.3
dmsserverqdb3623,libsys_dsi_servicebroker.cpp-ne.so.4
dmsserverqdb3623,libsys_trace_clienttrace.cpp-ne.so.7
